Expediente,FechaRegistro,Calle,Numero,AlturaObra,Zona,Seccion,Manzana,Parcela,Barrio,Comuna,CodigoPostal,Tipo,MetrosCuadrados,Longitud,Latitud
25822080/19,2019-09-20,VIDT,1636,1636,18,19,99,30,Palermo,14,C1425DJB,Obra Media,1949.58,-58.416728612233,-34.5916094011272
20671875/19,2019-08-02,ZAPATA,301,301,17,35,108,15,Palermo,14,C1426AEE,Obra Media,957.8,-58.4407154743246,-34.5735511465489
15964129/19,2019-08-20,"DIAZ, AVELINO",1451,1451,1,44,137B,012A,Parque Chacabuco,7,C1406IBC,Obra Menor,109.1,-58.4406845925731,-34.6374495409438
24812369/18,2019-06-26,THOMPSON,819,819/21,6,40,29,29,Parque Chacabuco,7,C1424ALI,Obra Media,1378.95,-58.4387110965661,-34.6291350567234
14371111/19,2019-08-20,PUMACAHUA,803,803/05,5,42,1A,1,Parque Chacabuco,7,C1406DCQ,Obra Menor,64.2,-58.451379501388594,-34.6352969993144
27913009/16,2019-08-28,MIRO,1570,1570/72,1,44,115,11,Parque Chacabuco,7,C1406CVF,Obra Media,729.81,-58.443398651143596,-34.6390840331507
35221840/18,2019-06-11,DIRECTORIO AV.,1424,1424/44,5,42,57,12a,Parque Chacabuco,7,C1406GZQ,Obra Menor,77.12,-58.4473679612263,-34.6303903531698
35361434/18,2019-08-26,PRIMERA JUNTA,1470,1470/72,5,42,54,4a,Parque Chacabuco,7,C1406HKD,Obra Media,910.66,-58.4461776355226,-34.6335503879915
33063170/18,2019-06-27,ASAMBLEA AV.,1614,1614,1,44,96,3,Parque Chacabuco,7,C1406HVT,Obra Mayor,3135.2,-58.4474039081633,-34.6377916411317
6495288/19,2019-06-10,BEAUCHEF,1948,1948/50,1,38,47,16-,Parque Chacabuco,7,C1424BEN,Obra Menor,84.55,-58.4298875098343,-34.63966220680761
21985583/19,2019-08-05,CURAPALIGUE AV.,1350,1350,1,44,108,18,Parque Chacabuco,7,C1406DBN,Obra Menor,44.9,-58.4446660271453,-34.6378702960404
31545327/18,2019-09-17,"LAFERRERE, GREGORIO DE",1127,1127,5,82,81,29,Parque Chacabuco,7,C1406HEA,Obra Media,1724.61,-58.443327130552994,-34.6300201930128
22625631/19,2019-08-30,MALVINAS ARGENTINAS,775,775,5,42,28A,25,Parque Chacabuco,7,C1406CXO,Obra Menor,216.07,-58.4484879531957,-34.6327769611706
35378142/18,2019-06-05,ZUVIRIA,315,315,6,40,94,24,Parque Chacabuco,7,C1424CKG,Micro Obra,,-58.4310852448517,-34.628760280699304
21942118/19,2019-08-13,TREVERIS,2419,2419/21,15,61,90,24,Parque Chas,15,C1431DIC,Micro Obra,,-58.4762885689743,-34.5817475761556
20557789/18,2019-09-27,GAMARRA,1245,1245/49,15,61,50,16,Parque Chas,15,C1427AYC,Obra Media,1302.26,-58.4748514727871,-34.584824509864504
31978844/18,2019-08-27,GANDARA,3165,3165/67,15,61,159,21,Parque Chas,15,C1431DAR,Obra Menor,240.8,-58.4838315546465,-34.584839295063
33051674/18,2019-07-01,BEHRING,2563,2563,15,61,51,22,Parque Chas,15,C1427DFA,Obra Mayor,1216.94,-58.4751146358355,-34.584075562615396
35312834/18,2019-06-27,BEHRING,2574,2574/76,15,61,50,9,Parque Chas,15,C1427DFB,Obra Media,1446.22,-58.474723588694,-34.5844161452797
33358670/18,2019-07-29,BAUNESS,938,938/40,15,61,28,28,Parque Chas,15,C1427BCL,Obra Mayor,405.03,-58.4746919539986,-34.589725704062
27306110/18,2019-08-28,BALLIVIAN,3267,3267/69,15,61,158,18,Parque Chas,15,C1431CUO,Obra Menor,207.76,-58.48616735020929,-34.5840161462067
33363224/18,2019-08-20,ARISMENDI,2519,2519,15,61,81,29,Parque Chas,15,C1427DLC,Obra Media,838.28,-58.47506688775471,-34.5831914027409
24945988/19,2019-08-29,BEHRING,2687,2687,15,61,53,25,Parque Chas,15,C1427DFC,Micro Obra,,-58.4764030176307,-34.5856534587536
30059661/18,2019-07-12,BERLIN,4176,4176,15,61,179,10,Parque Chas,15,C1431DJF,Obra Mayor,149.98,-58.480185852717,-34.5825736696247
6297050/17,2019-07-01,GAMARRA,1418,1418,15,61,79,38,Parque Chas,15,C1427AYH,Obra Media,797,-58.4761404090323,-34.583939493464996
34898064/19,2019-08-02,TASSO,2750,2750,15,61,43,7,Parque Chas,15,C1427DDD,Obra Menor,188.6,-58.4756599525802,-34.5873059427105
17332068/19,2019-08-08,TORRENT,1267,1267,15,61,49,17,Parque Chas,15,C1427AVC,Micro Obra,,-58.4740315589532,-34.5834266002377
27163966/18,2019-07-18,SANCHEZ DE LORIA AV.,2058,2058/60,15,59,43,8,Parque Patricios,4,C1241ACP,Obra Mayor,2051.03,-58.4106346063828,-34.6348083157461
34222162/18,2019-09-30,"URQUIZA, GRAL.",1638,1638/40,2,32,109,20,Parque Patricios,4,C1243AEJ,Obra Mayor,3328.89,-58.407972378056606,-34.6300017915911
16350436/18,2019-07-18,CASEROS AV.,2871,2871/75,2,24,28,26,Parque Patricios,4,C1264AAI,Obra Mayor,1363.99,-58.403285973990094,-34.6366239230145
27324361/16,2019-09-30,CASEROS AV.,2080,2080/84,11,24,95,12,Parque Patricios,4,C1264AAN,Obra Media,822.21,-58.391679823925,-34.6346298809887
14634396/19,2019-07-05,COLONIA AV.,259,259,2,24,49,44,Parque Patricios,4,C1437JNE,Obra Mayor,42.34,-58.3980717770461,-34.638991227107
19255064/18,2019-07-25,"SEGUI, F. J., ALTE.",2472,2472/74,15,59,106,29,Paternal,15,C1416BYB,Obra Mayor,153.73,-58.461474209503,-34.5979864882267
16877723/19,2019-07-24,"GARCIA, JUAN AGUSTIN",1135,1135/37,15,59,104,25,Paternal,15,C1416EKC,Obra Mayor,113.92,-58.4643826392293,-34.5974515437592
29975946/17,2019-08-07,CUCHA CUCHA,2738,2738/40,15,59,58,8,Paternal,15,C1416CKH,Obra Media,1724.43,-58.4672897072021,-34.599756855138196
34797062/18,2019-07-18,"RAWSON DE DELLEPIANE, ELVIRA AV.",340,340,21,98,1V,11,Puerto Madero,1,C1107BCA,Obra Mayor,50284.82,-58.361783161723096,-34.6227185128121
16177493/19,2019-07-29,SANTA FE AV.,2496,2496/500,19,11,4,009a,Recoleta,2,C1123AAT,Micro Obra,,-58.40221090712,-34.5947400707559
24522369/18,2019-06-28,SANCHEZ DE BUSTAMANTE,2540,.2540/42,19,15,54,61,Recoleta,2,C1425DUZ,Micro Obra,,-58.4027630004828,-34.5840750433848
28434626/19,2019-09-27,PUEYRREDON AV.,1233,1233/39,19,11,3,17E,Recoleta,2,C1118AAC,Micro Obra,,-58.4027980960341,-34.5963378444928
34740458/18,2019-08-27,ORTIZ DE OCAMPO AV.,3220,3220/50,19,15,173,F,Recoleta,2,C1425DSU,Micro Obra,,-58.4010095584605,-34.575150154703195
14157147/19,2019-06-27,"ALVEAR, MARCELO T. DE",1418,1418/20,20,7,33,3,Recoleta,2,C1060AAB,Obra Menor,101.56,-58.3873230398936,-34.597248450365804
27324304/18,2019-07-11,GUEMES,2902,2902/24,19,15,84,1,Recoleta,2,C1425BKB,Obra Mayor,3927.8,-58.40822255046479,-34.5925419058175
24357521/19,2019-08-27,CORDOBA AV.,3093,3093/99,19,15,100,18,Recoleta,2,C1187AAE,Obra Media,2347.08,-58.410125274341,-34.5979100887535
35404171/18,2019-06-11,CORDOBA AV.,2919,2919/27,19,15,113,25e,Recoleta,2,C1187AAD,Obra Mayor,3700.84,-58.4084385056089,-34.597760220095
26906643/15,2019-08-12,CORDOBA AV.,1601,1601/57,20,7,13,21a,Recoleta,2,C1055AAG,Micro Obra,,-58.390022982510395,-34.5992247758349
12294657/17,2019-06-27,"ANCHORENA, TOMAS MANUEL DE, DR.",1288,1288/92,19,15,116,43,Recoleta,2,C1425ELD,Micro Obra,,-58.4063398122375,-34.5943456467166
20581571/19,2019-07-11,AGUERO,1151,1151/57,19,15,101,15,Recoleta,2,C1425EHA,Micro Obra,,-58.409615331059,-34.5963297054718
21871711/19,2019-09-17,BILLINGHURST,1323,1323,19,15,43,13a,Recoleta,2,C1425DTA,Obra Menor,131.48,-58.4132493061942,-34.5945783120929
21433822/19,2019-07-15,SANTA FE AV.,1638,1638,20,7,17,8,Recoleta,2,C1060ABP,Obra Mayor,145.36,-58.3907090804299,-34.5962156291173
31960715/18,2019-06-14,SOLER,3395,3395,19,15,61,15,Recoleta,2,C1425BWC,Obra Media,1262.29,-58.412477810640105,-34.5953959985254
12664123/17,2019-06-28,SUPERI,4447,U.F.1,12,43,62,13,Saavedra,12,C1430FGG,Obra Menor,42.84,-58.4828604058039,-34.547302600609
20974841/18,2019-08-12,SAN ISIDRO LABRADOR AV.,4802,4802/14,16,43,165,2o,Saavedra,12,C1429ADW,Obra Mayor,67833.49,-58.47572596467939,-34.540795172992304
26974816/19,2019-09-26,RAMALLO,4884,4884/86,16,55,128,7,Saavedra,12,C1430CQN,Obra Menor,402.24,-58.4955418900399,-34.553704639054295
21086388/19,2019-07-31,RUIZ HUIDOBRO,2605,2605/07,16,43,159,28,Saavedra,12,C1429DNQ,Obra Mayor,84.76,-58.4741157628246,-34.5451493085412
29889654/17,2019-07-15,"BALBIN, RICARDO, DR. AV.",4289,4289/99,16,55,154,5,Saavedra,12,C1430ABA,Obra Mayor,2452.85,-58.4921767142649,-34.5549406868083
35465283/18,2019-06-24,PINTO,4018,4018/60,15,43,83,6,Saavedra,12,C1429APR,Obra Media,813.12,-58.4778319269532,-34.5492839821351
20962298/19,2019-08-28,PAROISSIEN,3726,3726/30,16,43,19,3a,Saavedra,12,C1430CCD,Obra Media,601.58,-58.4822802973073,-34.5522584051922
1613636/19,2019-06-26,MELIAN AV.,3726,3726/28,16,43,17,18,Saavedra,12,C1430EZB,Micro Obra,12.06,-58.480910539591,-34.5540434474615
34189379/18,2019-09-20,VILELA,3869,3869/71,16,43,7,16,Saavedra,12,C1430CEI,Obra Media,939.31,-58.4844695903024,-34.551655189727605
20274151/19,2019-08-28,"ACHA, MARIANO, GRAL.",3725,3725/29,16,55,164,14,Saavedra,12,C1430DVW,Obra Menor,476.37,-58.4888682209653,-34.5580440808892
30330604/18,2019-06-27,JARAMILLO,4622,4622/24,16,55,148B,3,Saavedra,12,C1430AHJ,Obra Menor,30.51,-58.48911378083489,-34.5587401450612
17464029/19,2019-06-28,JARAMILLO,2965,U.F.1,16,43,127,15,Saavedra,12,C1429CRU,Obra Menor,143.6,-58.474149534777005,-34.5506134263633
19382389/17,2019-07-18,"PELLEGRINI, CARLOS E.",5609,5609/17,16,55,32,8,Saavedra,12,C1431BKA,Obra Mayor,454.63,-58.501085791487,-34.5625088684611
17166777/19,2019-09-13,ARIAS,3010,3010/20,16,43,107,1g,Saavedra,12,C1429DYB,Micro Obra,,-58.479217112537405,-34.544289313160604
32322509/18,2019-07-31,VILELA,2521,2521/57,15,43,177,16a/21a,Saavedra,12,C1429DAM,Obra Mayor,5797.29,-58.4714409992256,-34.546262641048195
14674026/19,2019-06-19,ANDONAEGUI,3720,3720/26,16,55,20,16,Saavedra,12,C1431DXB,Micro Obra,12.7,-58.50013738112471,-34.5634122237286
35357007/18,2019-07-24,AMENABAR,3607,3607/11,16,43,174,10B,Saavedra,12,C1429AEO,Obra Mayor,1624.97,-58.4701533578771,-34.5498691151495
27412448/19,2019-09-25,20 DE FEBRERO,5752,5752,16,55,12,3,Saavedra,12,C1431BBD,Micro Obra,18.62,-58.501193597196504,-34.565265111806305
25094938/19,2019-09-20,AIZPURUA,3831,3831,55,24,4,,Saavedra,12,C1431ESC,Obra Menor,427.06,-58.505863811932706,-34.5644236571237
23547612/19,2019-08-08,BESARES,3625,3625,16,43,35,22,Saavedra,12,C1430CHE,Micro Obra,5.73,-58.482955647725106,-34.549900204886306
7703987/19,2019-07-18,BESARES,3710,3710,16,43,21c,2,Saavedra,12,C1430CHH,Obra Mayor,85.17,-58.483562882014205,-34.5505971761703
16811193/19,2019-08-02,CIUDAD DE LA PAZ,3775,3775,16,43,180,6,Saavedra,12,C1429ACQ,Micro Obra,22.33,-58.4702720262955,-34.547557734429
36724542/15,2019-06-24,"LARRALDE, CRISOLOGO AV.",2491,2491,16,43,179,10,Saavedra,12,C1429BTE,Micro Obra,,-58.4693097162186,-34.5492931098385
35480387/18,2019-07-01,CONESA,4465,4465,16,49,134,11,Saavedra,12,C1429AME,Obra Mayor,96.72,-58.4775588981212,-34.5449833502991
21420879/19,2019-09-24,DEHEZA,4751,4751,16,55,145,20,Saavedra,12,C1430CVK,Micro Obra,,-58.4958839930274,-34.5512070477991
16474629/19,2019-06-12,DEHEZA,4975,4975,16,55,116,20,Saavedra,12,C1430CVO,Micro Obra,,-58.49783513875361,-34.5523345360098
30408750/17,2019-07-30,DONADO,3986,3986,16,55,180,29,Saavedra,12,C1430DTB,Obra Mayor,935.86,-58.48862545698461,-34.5555159953725
3200181/17,2019-07-22,PLAZA,4478,4478,16,55,215,20,Saavedra,12,C1430DJD,Obra Mayor,105.94,-58.4893430188131,-34.5504785638255
26241187/19,2019-09-20,"BALBIN, RICARDO, DR. AV.",4198,4198,16,55,167,1,Saavedra,12,C1430AAZ,Micro Obra,,-58.4906246223078,-34.5553245463516
35170681/18,2019-08-28,"FREIRE, RAMON, CAP. GRAL.",4380,4380,2,24,102,26,Saavedra,12,C1429ATD,Obra Menor,346,-58.4808778769291,-34.5471782457006
6619558/18,2019-06-11,RUIZ HUIDOBRO,3457,3457,16,43,49a,14,Saavedra,12,C1430CJB,Obra Menor,437.15,-58.4827670900091,-34.548765269289696
