Expediente,FechaRegistro,Calle,Numero,AlturaObra,Zona,Seccion,Manzana,Parcela,Barrio,Comuna,CodigoPostal,Tipo,MetrosCuadrados,Longitud,Latitud
18554552/19,2019-07-29,NAZARRE,5493,5493/99,15,93,174b,13,Villa Real,10,C1408BDC,Obra Mayor,180.2,-58.521384186778896,-34.6201222795337
23681080/19,2019-09-23,BRUSELAS,1218,1218/20,15,93,82,1b,Villa Real,10,C1408BYP,Obra Menor,110.32,-58.5257820658008,-34.622870187675
32920203/18,2019-07-16,"BEIRO, FRANCISCO AV.",5773,5773,15,93,131,16,Villa Real,10,C1419IAG,Obra Mayor,1587.94,-58.53008163,-34.617575999626105
8536452/19,2019-07-31,TINOGASTA,5327,5327,15,93,193A,22,Villa Real,10,C1408BGA,Obra Menor,465,-58.5215054811526,-34.6172696500372
6425809/19,2019-06-28,TINOGASTA,5563,5563,15,93,158,23,Villa Real,10,C1408BGE,Obra Menor,229.61,-58.52387779936971,-34.6194019578285
31311429/18,2019-07-18,CORRALES,6555,6555,1,82,52,18,Villa Riachuelo,8,C1439DBK,Obra Mayor,104.3,-58.472220142821705,-34.690660758011695
2637199/19,2019-06-25,TABARE,6668,6668/70,1,82,26,39,Villa Riachuelo,8,C1439DGL,Obra Menor,73.58,-58.4716224065668,-34.6924972863229
20577012/19,2019-09-25,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",6401,6401/05,1,82,47,14o,Villa Riachuelo,8,C1439CPD,Obra Menor,70.89,-58.4747392177944,-34.6868857294037
30392043/17,2019-08-30,CORRALES,6221,6221,1,82,60,1b,Villa Riachuelo,8,C1439DBE,Micro Obra,,-58.469926084488,-34.6882970791283
19216975/18,2019-06-26,BERON DE ASTRADA,6720,6720,1,84,16,13,Villa Riachuelo,8,C1439DPR,Obra Menor,349.52,-58.4697783000582,-34.6946307657101
7868330/18,2019-06-28,"GORDILLO, TIMOTEO",4756,4756,1,82,72,27,Villa Riachuelo,8,C1439GJJ,Obra Menor,249.75,-58.4745764967268,-34.683991618965806
30424038/17,2019-07-18,SAN BLAS,2978,2978/82,15,67,34,7,Villa Santa Rita,11,C1416EGB,Obra Mayor,2006.52,-58.482184106945,-34.6121042559081
15021086/19,2019-08-15,NAZCA AV.,1614,1614/18,15,67,31A,11C,Villa Santa Rita,11,C1416ASS,Micro Obra,,-58.4785570209471,-34.6153644504044
34920141/18,2019-08-12,HELGUERA,1030,1030/32,15,67,2,34,Villa Santa Rita,11,C1416BBD,Obra Media,981.21,-58.4779962024502,-34.6206188149618
6170987/19,2019-07-19,CUENCA,1015,1015/17,15,67,2,19,Villa Santa Rita,11,C1416BCC,Obra Menor,300,-58.478815178554896,-34.621209468168004
35245769/18,2019-07-31,"ESCALADA DE SAN MARTIN, R.",2873,2873,15,67,43,20,Villa Santa Rita,11,C1416CWQ,Obra Mayor,1778.3,-58.477895388703004,-34.6149823507678
26840315/18,2019-07-11,SAN NICOLAS,981,981,15,79,88,7c,Villa Santa Rita,11,C1407DCQ,Obra Mayor,4041,-58.4830364838251,-34.6229942380192
20019069/19,2019-09-20,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",2818,2818/22,18,21,28,20,Villa Soldati,8,C1437GZU,Micro Obra,,-58.440828173253,-34.6580804550942
31195008/18,2019-07-10,PACHECO,3025,3025,16,53,22B,11,Villa Urquiza,12,C1431FJK,Obra Mayor,1243.22,-58.487972789847795,-34.568102432976
13441091/19,2019-07-18,"TAMBORINI, JOSE PASCUAL",5191,5191/99,16,63,133,22,Villa Urquiza,12,C1431AGK,Obra Mayor,150.56,-58.4925508041376,-34.5663525770567
18478090/19,2019-07-22,"RIVERA, PEDRO I., DR.",5782,5782/92,16,63,32,11,Villa Urquiza,12,C1431BVZ,Micro Obra,,-58.4961110714922,-34.5765155121625
22375905/19,2019-08-08,QUESADA,6018,6018/20,16,63,7,3,Villa Urquiza,12,C1431ADD,Micro Obra,,-58.5006465870366,-34.573958051529495
24040748/17,2019-09-30,"RIVERA, PEDRO I., DR.",5836,5836/46,16,63,3,10c,Villa Urquiza,12,C1431BWB,Micro Obra,,-58.4968860492544,-34.577056075261304
35195921/18,2019-09-13,OLAZABAL AV.,5642,5642/44,16,51,5,8b,Villa Urquiza,12,C1431CGZ,Obra Mayor,4332.5,-58.4921105891019,-34.5805640799261
27997126/18,2019-08-27,"ACHA, MARIANO, GRAL.",3458,3458/62,16,53,70,36a,Villa Urquiza,12,C1430DVR,Micro Obra,,-58.4869707108689,-34.561651377333604
32769529/18,2019-06-13,"ACHA, MARIANO, GRAL.",2764,2764/68,16,53,63,5,Villa Urquiza,12,C1430DVD,Obra Media,1429.52,-58.48154796407471,-34.5676963334618
33217571/18,2019-07-24,LA PAMPA,5167,5167/69,16,51,50B,17,Villa Urquiza,12,C1431CQM,Obra Mayor,1995.26,-58.480981132348006,-34.5800219612715
28271927/17,2019-08-28,ECHEVERRIA,4295,4295/99,16,51,102,21,Villa Urquiza,12,C1430BTS,Obra Media,1026.44,-58.4741510364583,-34.5735735748858
15127369/18,2019-07-10,DIAZ COLODRERO,2318,2318/42,15,51,59,12h/13a,Villa Urquiza,12,C1431FLB,Micro Obra,,-58.485181916942,-34.5744914317712
15977582/19,2019-07-31,DE LOS CONSTITUYENTES AV.,5251,5251/55,16,63,4,15K,Villa Urquiza,12,C1431EZD,Micro Obra,,-58.4982017539734,-34.5768792415446
32754265/18,2019-06-11,CERETTI,2686,2686/90,16,63,31,34,Villa Urquiza,12,C1431ELF,Obra Media,2273.45,-58.49510238549539,-34.5761057161003
27440666/18,2019-09-30,BUCARELLI,2633,2633/37,16,63,102,9,Villa Urquiza,12,C1431DRE,Obra Mayor,3435.83,-58.49026489583589,-34.573727620805805
28388433/17,2019-08-16,BAUNESS,2964,2964/66,16,63,105,20,Villa Urquiza,12,C1431DOL,Obra Menor,38.75,-58.4913535006084,-34.5709337412835
33044104/18,2019-06-18,BLANCO ENCALADA,5480,5480/84,16,51,20,12,Villa Urquiza,12,C1431CDV,Obra Media,1237.62,-58.4908342886371,-34.5784121333699
29516983/18,2019-06-11,BLANCO ENCALADA,4110,4110/62,16,51,105,1f,Villa Urquiza,12,C1430BON,Obra Mayor,9216.23,-58.4766028153789,-34.5698330355658
7244163/19,2019-07-23,ACHEGA,3095,3095,16,63,22,11a,Villa Urquiza,12,C1431ETC,Obra Mayor,682.66,-58.5001317543781,-34.5737975655399
16121045/19,2019-07-18,ACHEGA,3580,3580,16,63,21,47,Villa Urquiza,12,C1431ETN,Obra Menor,150,-58.5051863099685,-34.5681182356834
13524849/16,2019-06-05,ALTOLAGUIRRE,3090,3090,16,63,68,40,Villa Urquiza,12,C1431EDN,Obra Menor,462.19,-58.495543829915505,-34.5715106982206
5850213/19,2019-08-20,ALTOLAGUIRRE,3361,3361,16,63,84B,9,Villa Urquiza,12,C1431EDS,Obra Menor,443.83,-58.4975184119038,-34.568395740338396
11023606/17,2019-06-06,ANDONAEGUI,2483,2483/85,16,63,88B,9,Villa Urquiza,12,C1431DWA,Micro Obra,,-58.49006494909229,-34.5756147595825
34899923/18,2019-08-27,BLANCO ENCALADA,4449,4449,16,51,85,16,Villa Urquiza,12,C1431CDA,Obra Media,1228.99,-58.4798995711763,-34.571457294123896
15568765/18,2019-06-28,BLANCO ENCALADA,4880,4880,16,51,58,11,Villa Urquiza,12,C1431CDJ,Obra Media,2094.29,-58.484276259329704,-34.5746563301052
34207500/18,2019-08-21,BUCARELLI,2310,2310,16,51,37,29a,Villa Urquiza,12,C1431DQT,Obra Media,2376,-58.487888187165794,-34.5762794410385
30153526/16,2019-09-13,BURELA,3263,3263,16,63,70,15,Villa Urquiza,12,C1431EHQ,Obra Mayor,2547.45,-58.49761560768479,-34.5700284593802
38617784/15,2019-09-27,CONGRESO AV.,5214,5214,16,63,105,1F,Villa Urquiza,12,C1431AAU,Micro Obra,,-58.4915138317981,-34.570677904351896
3801887/17,2019-06-26,CONGRESO AV.,5828,5828,16,63,6A,3,Villa Urquiza,12,C1431ABN,Micro Obra,,-58.4987011389832,-34.5745279874618
20526806/18,2019-07-24,DE LOS CONSTITUYENTES AV.,5141,,16,63,3,17,Villa Urquiza,12,C1431EZC,Obra Mayor,1005.64,-58.4973345672916,-34.577605542604196
26215637/19,2019-08-29,CULLEN,5824,5824,16,63,38,17,Villa Urquiza,12,C1431BXV,Micro Obra,,-58.4961122516642,-34.5776228034684
17920593/19,2019-07-18,DE LA TECNICA,5556,5556,16,63,83A,6,Villa Urquiza,12,C1431AIF,Obra Mayor,682.82,-58.4961800598985,-34.5694694548191
13681139/19,2019-08-14,ECHEVERRIA,3845,3845,16,51,130,16,Villa Urquiza,12,C1430BTK,Obra Menor,380.19,-58.4702635969204,-34.571252840704496
15609111/19,2019-09-24,"TAMBORINI, JOSE PASCUAL",4567,4567,16,53,69A,15,Villa Urquiza,12,C1430ASI,Obra Menor,189.32,-58.4860743067768,-34.563178696236896
13224594/18,2019-06-06,LAVOISIER,3230,3230,16,63,37,24,Villa Urquiza,12,C1431DTF,Obra Menor,294.1,-58.4997695260664,-34.5714731147115
33451381/18,2019-06-27,LAVOISIER,3558,3558,16,63,41,35,Villa Urquiza,12,C1431DTL,Obra Menor,194.37,-58.503111337550294,-34.5674755319249
10563041/19,2019-06-11,"ACHA, MARIANO, GRAL.",2823,2823,16,53,75,13,Villa Urquiza,12,C1430DVE,Obra Menor,426.7,-58.4816639759931,-34.566836406370804
21845642/19,2019-09-16,"PEDRAZA, MANUELA",6236,6236,16,63,10,6,Villa Urquiza,12,C1431AKH,Obra Menor,56.46,-58.504105570019,-34.571833697025596
17375900/19,2019-09-26,MILLER,3470,3470,16,53,48,38,Villa Urquiza,12,C1431GER,Obra Menor,278.62,-58.488987817200204,-34.562167002936505
12761058/17,2019-09-30,MONROE,4632,4632,31,16,51,79,Villa Urquiza,12,C1431CAD,Obra Media,2271.23,-58.48108488022061,-34.5716043727592
33006786/18,2019-06-26,"RIVERA, PEDRO I., DR.",4079,4079,16,53,113,14,Villa Urquiza,12,C1430BFC,Obra Menor,84.49,-58.477910336322495,-34.5661212406869
15842792/16,2019-07-01,PIRAN,6235,6235,16,63,15,25,Villa Urquiza,12,C1431AMQ,Obra Mayor,1051.29,-58.505149903194294,-34.5703734896462
9574770/17,2019-06-06,QUESADA,5074,5074/76,16,53,7,11,Villa Urquiza,12,C1431ACJ,Micro Obra,,-58.489426903269504,-34.568224485780505
7670829/19,2019-08-02,RUFINO,3161,3161,16,63,107A,9,Villa Urquiza,12,C1431DUC,Micro Obra,6.4,-58.49330189061279,-34.569085035273396
23334652/19,2019-07-30,"LE BRETON, TOMAS A.",5030,5030,16,63,128,2,Villa Urquiza,12,C1431BQS,Micro Obra,,-58.4888558701912,-34.570428865001396
31243966/18,2019-08-23,"LE BRETON, TOMAS A.",5569,5569,16,63,67,22,Villa Urquiza,12,C1431BQK,Obra Media,750.09,-58.4949233571739,-34.573223658062304
11417678/19,2019-08-29,"TAMBORINI, JOSE PASCUAL",5879,5879,16,63,2,2,Villa Urquiza,12,C1431AGY,Obra Menor,65.44,-58.5007749243034,-34.5707039158445
26649968/19,2019-09-10,VALDENEGRO,3043,3043,16,53,44,15,Villa Urquiza,12,C1431GAI,Micro Obra,16.46,-58.48575611346,-34.566788542838204
18636342/18,2019-07-01,ANTARTIDA ARGENTINA AV.,455,455,20,3,77a,0,Retiro,1,C1104AAP,Obra Mayor,589.5,-58.372527612060395,-34.5859677703447
16079848/19,2019-07-12,PARAGUAY,460,460/76,20,3,53,5/16/6a,Retiro,1,C1057AAD,Obra Mayor,239.94,-58.373704234697705,-34.5975318232269
28784919/15,2019-08-01,"ALVEAR, MARCELO T. DE",715,715/45,20,3,36,1a,Retiro,1,C1058AAI,Micro Obra,,-58.37777192425511,-34.5959186238095
14623421/18,2019-07-11,"MADERO, EDUARDO AV.",1180,1180,20,3,62D,5a,Retiro,1,C1106ACY,Micro Obra,,-58.3718259122748,-34.594233491424
11453997/18,2019-06-07,PARAGUAY,814,814/16,20,3,26,11,Retiro,1,C1057AAL,Obra Media,2396.87,-58.3786045075425,-34.5978867848453
23220525/17,2019-06-28,SANTA FE AV.,760,760,20,3,36,2a,Retiro,1,C1059ABO,Obra Menor,356.64,-58.377935662759,-34.595492544278805
13016372/19,2019-07-02,SUIPACHA,1032,1032,20,3,21,33C,Retiro,1,C1008AAV,Micro Obra,,-58.3803102389254,-34.5960702920438
11186983/19,2019-09-20,USPALLATA,1902,1902/10,3,16,3,1a,Barracas,4,C1282AEH,Obra Media,659.87,-58.3895209211812,-34.6364140548064
35466399/19,2019-08-23,TACUARI,1970,1970/72,3,8,29,15,Barracas,4,C1139AAP,Obra Menor,163.74,-58.3736110624234,-34.6307376155319
18907219/19,2019-07-10,TACUARI,1793,1793/97,3,8,7,28F,Barracas,4,C1139AAK,Micro Obra,,-58.37594532279451,-34.6289328429583
24122817/18,2019-07-10,SUAREZ,1617,1617/21,4,10,14,21,Barracas,4,C1288AEI,Obra Mayor,1619.51,-58.3736836115116,-34.6383873258674
27019284/18,2019-08-26,RIO CUARTO,2560,2560/74,3,18,63,13a,Barracas,4,C1292ABH,Obra Mayor,4410.17,-58.381470034617,-34.651755251493896
11800194/17,2019-09-27,LUJAN,2507,2507/97,3,18,47,B,Barracas,4,C1294ACC,Obra Menor,139.49,-58.380240154138,-34.6564139560774
14500513/18,2019-08-14,"MONTES DE OCA, MANUEL AV.",1005,1005/07,3,18,142b,31,Barracas,4,C1270AAK,Micro Obra,,-58.37499207938729,-34.6397832429045
9313888/18,2019-08-07,"IRIARTE, GRAL. AV.",2130,2130/32,3,18,99B,2,Barracas,4,C1291ABR,Obra Menor,175.24,-58.3774503452899,-34.6492435519622
26598858/16,2019-08-16,"HORNOS, GRAL.",1122,1122/24,3,18,142,9,Barracas,4,C1272ACV,Micro Obra,,-58.3755008287969,-34.6398080862324
12856709/18,2019-07-12,"AROLAS, EDUARDO",2101,2101/65,3,16,55B,38b,Barracas,4,C1295AAA,Obra Mayor,139.8,-58.381121842399395,-34.6370736574126
21857247/19,2019-09-17,BOLIVAR,1740,1740/48,3,8,53,2e/2f,Barracas,4,C1141AAL,Micro Obra,,-58.3717420040656,-34.6285942295266
5288870/19,2019-06-24,AUSTRALIA AV.,3142,3142/60,2,26,37,8A15,Barracas,4,C1296ABR,Micro Obra,,-58.390792496921705,-34.6469726848251
32911147/18,2019-08-08,CALIFORNIA,3151,3151,2,26,036B,24,Barracas,4,C1289ABQ,Obra Menor,364.8,-58.391704432504994,-34.6496652843365
24463984/18,2019-07-11,"SALMUN FEIJOO, JOSE AARON",1239,1239,3,18,110,38,Barracas,4,C1290AJC,Obra Mayor,396.76,-58.3771853163149,-34.646524695288
27801295/16,2019-09-30,"JOVELLANOS, GASPAR M. DE",1446,1446,4,10,29,14,Barracas,4,C1269ACL,Obra Menor,201.42,-58.3706808665551,-34.6457671851335
20086973/19,2019-08-06,"MAGALDI, AGUSTIN",2209,2209,2,26,15,1C,Barracas,4,C1286AFW,Micro Obra,,-58.391802519201605,-34.6615403848964
38603503/15,2019-06-28,"MONTES DE OCA, MANUEL AV.",1526,1526,4,10,8,11a,Barracas,4,C1270ABP,Micro Obra,,-58.3727673256961,-34.6447823454081
29252949/18,2019-06-10,SANTO DOMINGO,2225,2225,3,18,87,27,Barracas,4,C1293AFA,Obra Menor,168.52,-58.3777694514695,-34.65141473262
25826415/17,2019-06-11,DIRECTORIO AV.,4565,4565,15,85,70B,20,Parque Avellaneda,9,C1407HGF,Obra Menor,448.03,-58.48690474246101,-34.6472275335002
26066076/18,2019-06-05,GARZON EUGENIO GENERAL,4769,4769/71,1,62,165,29,Parque Avellaneda,9,C1407HMI,Obra Menor,156.95,-58.484938190562296,-34.650313080554
23649154/18,2019-06-10,"RODO, JOSE E.",4361,4361,1,54,71,26,Parque Avellaneda,9,C1407HDM,Obra Menor,497.85,-58.4862713234317,-34.643144939474
3330450/18,2019-06-10,"AMEGHINO, FLORENTINO, DR.",1896,1896,1,56,054B,018C,Parque Avellaneda,9,C1407JBB,Obra Menor,130.45,-58.4724381093771,-34.654727091754104
8493012/19,2019-06-27,MEDINA,691,691,1,54,71,29c,Parque Avellaneda,9,C1407JEM,Micro Obra,4.16,-58.4860096661489,-34.6429039816703
26609823/16,2019-08-13,"RECUERO, CASIMIRO, TTE. CNEL.",3417,3417,1,50,34,32,Parque Avellaneda,9,C1406HQE,Obra Menor,225.7,-58.4644843587813,-34.645435293514296
17478346/17,2019-06-12,SANTANDER,5212,5212/16,1,64,21,2,Villa Lugano,8,C1439ASP,Obra Menor,60.73,-58.4787088930426,-34.6670586777878
34986646/18,2019-06-27,RIESTRA AV.,5644,5644/46,1,80,109,6,Villa Lugano,8,C1439BYU,Obra Menor,191,-58.4746128628732,-34.6770515424712
20671617/19,2019-08-16,PIEDRA BUENA AV.,4503,4503/07,1,80,3,1,Villa Lugano,8,C1439GWC,Obra Menor,307.91,-58.4800051640841,-34.6842248317543
15231636/18,2019-07-29,"CASCO, HORACIO, DR.",4887,4887/89,1,64,59A,20,Villa Lugano,8,C1439BAI,Obra Mayor,211.16,-58.4781214622392,-34.6631254075641
12140093/18,2019-07-25,FONROUGE,2743,2743/45,1,64,17,32C,Villa Lugano,8,C1439ELA,Obra Mayor,257.1,-58.4854480637592,-34.6632103521256
23271396/19,2019-08-20,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",5161,5161,1,66,93,1a,Villa Lugano,8,C1439COB,Obra Menor,174.48,-58.4644793546021,-34.6776208264161
12634194/19,2019-08-15,ZELARRAYAN,5872,5872,1,80,95,9,Villa Lugano,8,C1439AHB,Obra Menor,69.14,-58.4807584094442,-34.6756026053788
